1,1,0,[1]
2,1,2,[4]
3,1,1,[4]
4,1,0,[4]
5,2,1,[6, 5]
6,2,1,[5, 6]
7,2,3,[5, 6]
8,2,2,[5, 6]
9,2,2,[5, 6]
10,2,4,[5, 6]
11,2,5,[5, 6]
12,2,4,[5, 6]
13,2,4,[5, 6]
14,2,3,[5, 6]
15,2,3,[5, 6]
16,2,3,[5, 6]
17,2,4,[5, 6]
18,2,3,[5, 6]
19,2,4,[5, 6]
20,2,3,[5, 6]
21,2,5,[5, 6]
22,2,5,[5, 6]
23,2,4,[5, 6]
24,2,3,[5, 6]
25,2,5,[5, 6]
26,2,4,[5, 6]
27,2,3,[5, 6]
28,2,6,[5, 6]
29,2,6,[5, 6]
30,2,5,[5, 6]
31,2,6,[5, 6]
32,2,5,[5, 6]
33,2,4,[5, 6]
34,2,5,[5, 6]
35,2,5,[5, 6]
36,2,5,[5, 6]
37,2,7,[5, 6]
38,2,6,[5, 6]
39,2,4,[5, 6]
40,2,6,[5, 6]
41,2,6,[5, 6]
42,2,5,[5, 6]
43,2,5,[5, 6]
44,2,4,[5, 6]
45,2,6,[5, 6]
46,2,6,[5, 6]
47,2,7,[5, 6]
48,2,6,[5, 6]
49,2,4,[5, 6]
50,2,5,[5, 6]
51,2,4,[5, 6]
52,2,5,[5, 6]
53,2,7,[5, 6]
54,2,6,[5, 6]
55,2,4,[5, 6]
56,2,5,[5, 6]
57,2,6,[5, 6]
58,2,7,[5, 6]
59,2,6,[5, 6]
60,2,5,[5, 6]
61,2,6,[5, 6]
62,2,5,[5, 6]
63,2,5,[5, 6]
64,2,5,[5, 6]
65,2,4,[5, 6]
66,2,4,[5, 6]
67,2,7,[5, 6]
68,2,6,[5, 6]
69,2,5,[5, 6]
70,2,4,[5, 6]
71,2,6,[5, 6]
72,2,5,[5, 6]
73,2,6,[5, 6]
74,2,5,[5, 6]
75,2,5,[5, 6]
76,2,5,[5, 6]
77,2,4,[5, 6]
78,2,4,[5, 6]
79,2,6,[5, 6]
80,2,5,[5, 6]
81,2,5,[5, 6]
82,2,6,[5, 6]
83,2,5,[5, 6]
84,2,4,[5, 6]
85,2,6,[5, 6]
86,2,7,[5, 6]
87,2,6,[5, 6]
88,2,5,[5, 6]
89,2,6,[5, 6]
90,2,5,[5, 6]
91,2,4,[5, 6]
92,2,4,[5, 6]
93,2,6,[5, 6]
94,2,5,[5, 6]
95,2,4,[5, 6]
96,2,5,[5, 6]
97,2,5,[5, 6]
98,2,4,[5, 6]
99,2,5,[5, 6]
100,2,4,[5, 6]
101,2,7,[5, 6]
102,2,6,[5, 6]
103,2,6,[5, 6]
104,2,5,[5, 6]
105,2,4,[5, 6]
106,2,5,[5, 6]
107,2,6,[5, 6]
108,2,5,[5, 6]
109,2,5,[5, 6]
110,2,4,[5, 6]
111,2,7,[5, 6]
112,2,4,[5, 6]
113,2,5,[5, 6]
114,2,4,[5, 6]
115,2,7,[5, 6]
116,2,5,[5, 6]
117,2,5,[5, 6]
118,2,7,[5, 6]
119,2,4,[5, 6]
120,2,4,[5, 6]
121,2,6,[5, 6]
122,2,6,[5, 6]
123,2,5,[5, 6]
124,2,6,[5, 6]
125,2,4,[5, 6]
126,2,4,[5, 6]
127,2,5,[5, 6]
128,2,4,[5, 6]
129,2,7,[5, 6]
130,2,4,[5, 6]
131,2,5,[5, 6]
132,2,4,[5, 6]
133,2,5,[5, 6]
134,2,6,[5, 6]
135,2,4,[5, 6]
136,2,5,[5, 6]
137,2,8,[5, 6]
138,2,7,[5, 6]
139,2,5,[5, 6]
140,2,4,[5, 6]
141,2,6,[5, 6]
142,2,7,[5, 6]
143,2,4,[5, 6]
144,2,4,[5, 6]
145,2,6,[5, 6]
146,2,6,[5, 6]
147,2,5,[5, 6]
148,2,7,[5, 6]
149,2,5,[5, 6]
150,2,4,[5, 6]
151,2,7,[5, 6]
152,2,6,[5, 6]
153,2,5,[5, 6]
154,2,4,[5, 6]
155,2,6,[5, 6]
156,2,4,[5, 6]
157,2,7,[5, 6]
158,2,6,[5, 6]
159,2,6,[5, 6]
160,2,4,[5, 6]
161,2,6,[5, 6]
162,2,4,[5, 6]
163,2,8,[5, 6]
164,2,7,[5, 6]
165,2,5,[5, 6]
166,2,7,[5, 6]
167,2,5,[5, 6]
168,2,4,[5, 6]
169,2,5,[5, 6]
170,2,4,[5, 6]
171,2,6,[5, 6]
172,2,8,[5, 6]
173,2,7,[5, 6]
174,2,6,[5, 6]
175,2,5,[5, 6]
176,2,5,[5, 6]
177,2,6,[5, 6]
178,2,5,[5, 6]
179,2,5,[5, 6]
180,2,4,[5, 6]
181,2,7,[5, 6]
182,2,6,[5, 6]
183,2,6,[5, 6]
184,2,7,[5, 6]
185,2,6,[5, 6]
186,2,6,[5, 6]
187,2,7,[5, 6]
188,2,5,[5, 6]
189,2,4,[5, 6]
190,2,5,[5, 6]
191,2,5,[5, 6]
192,2,4,[5, 6]
193,2,7,[5, 6]
194,2,6,[5, 6]
195,2,6,[5, 6]
196,2,4,[5, 6]
197,2,6,[5, 6]
198,2,5,[5, 6]
199,2,5,[5, 6]
200,2,4,[5, 6]
