1,1,0,[1]
2,2,29,[448, 19]
3,2,27,[448, 19]
4,1,0,[4]
5,2,19,[448, 19]
6,2,20,[448, 19]
7,2,9,[448, 19]
8,2,21,[448, 19]
9,2,21,[448, 19]
10,2,10,[448, 19]
11,2,16,[448, 19]
12,2,10,[448, 19]
13,2,13,[448, 19]
14,2,22,[448, 19]
15,2,22,[448, 19]
16,2,22,[448, 19]
17,2,25,[448, 19]
18,2,22,[448, 19]
19,2,1,[448, 19]
20,2,22,[448, 19]
21,2,11,[448, 19]
22,2,14,[448, 19]
23,2,4,[448, 19]
24,2,22,[448, 19]
25,2,11,[448, 19]
26,2,23,[448, 19]
27,2,22,[448, 19]
28,2,17,[448, 19]
29,2,14,[448, 19]
30,2,11,[448, 19]
31,2,13,[448, 19]
32,2,11,[448, 19]
33,2,23,[448, 19]
34,2,2,[448, 19]
35,2,11,[448, 19]
36,2,11,[448, 19]
37,2,29,[448, 19]
38,2,12,[448, 19]
39,2,23,[448, 19]
40,2,17,[448, 19]
41,2,19,[448, 19]
42,2,11,[448, 19]
43,2,25,[448, 19]
44,2,23,[448, 19]
45,2,17,[448, 19]
46,2,12,[448, 19]
47,2,19,[448, 19]
48,2,17,[448, 19]
49,2,23,[448, 19]
50,2,11,[448, 19]
51,2,23,[448, 19]
52,2,26,[448, 19]
53,2,25,[448, 19]
54,2,17,[448, 19]
55,2,23,[448, 19]
56,2,14,[448, 19]
57,2,15,[448, 19]
58,2,14,[448, 19]
59,2,27,[448, 19]
60,2,11,[448, 19]
61,2,13,[448, 19]
62,2,24,[448, 19]
63,2,14,[448, 19]
64,2,11,[448, 19]
65,2,23,[448, 19]
66,2,23,[448, 19]
67,2,25,[448, 19]
68,2,12,[448, 19]
69,2,24,[448, 19]
70,2,23,[448, 19]
71,2,3,[448, 19]
72,2,11,[448, 19]
73,2,5,[448, 19]
74,2,24,[448, 19]
75,2,14,[448, 19]
76,2,5,[448, 19]
77,2,23,[448, 19]
78,2,23,[448, 19]
79,2,26,[448, 19]
80,2,14,[448, 19]
81,2,11,[448, 19]
82,2,26,[448, 19]
83,2,24,[448, 19]
84,2,23,[448, 19]
85,2,15,[448, 19]
86,2,18,[448, 19]
87,2,12,[448, 19]
88,2,26,[448, 19]
89,2,14,[448, 19]
90,2,14,[448, 19]
91,2,23,[448, 19]
92,2,23,[448, 19]
93,2,3,[448, 19]
94,2,24,[448, 19]
95,2,23,[448, 19]
96,2,14,[448, 19]
97,2,17,[448, 19]
98,2,23,[448, 19]
99,2,26,[448, 19]
100,2,23,[448, 19]
101,2,13,[448, 19]
102,2,15,[448, 19]
103,2,13,[448, 19]
104,2,2,[448, 19]
105,2,23,[448, 19]
106,2,24,[448, 19]
107,2,7,[448, 19]
108,2,14,[448, 19]
109,2,15,[448, 19]
110,2,23,[448, 19]
111,2,18,[448, 19]
112,2,23,[448, 19]
113,2,7,[448, 19]
114,2,23,[448, 19]
115,2,18,[448, 19]
116,2,24,[448, 19]
117,2,2,[448, 19]
118,2,14,[448, 19]
119,2,23,[448, 19]
120,2,23,[448, 19]
121,2,15,[448, 19]
122,2,15,[448, 19]
123,2,24,[448, 19]
124,2,12,[448, 19]
125,2,23,[448, 19]
126,2,23,[448, 19]
127,2,25,[448, 19]
128,2,23,[448, 19]
129,2,13,[448, 19]
130,2,23,[448, 19]
131,2,24,[448, 19]
132,2,23,[448, 19]
133,2,24,[448, 19]
134,2,25,[448, 19]
135,2,23,[448, 19]
136,2,5,[448, 19]
137,2,25,[448, 19]
138,2,18,[448, 19]
139,2,25,[448, 19]
140,2,23,[448, 19]
141,2,12,[448, 19]
142,2,6,[448, 19]
143,2,23,[448, 19]
144,2,23,[448, 19]
145,2,3,[448, 19]
146,2,15,[448, 19]
147,2,26,[448, 19]
148,2,20,[448, 19]
149,2,13,[448, 19]
150,2,23,[448, 19]
151,2,14,[448, 19]
152,2,12,[448, 19]
153,2,5,[448, 19]
154,2,23,[448, 19]
155,2,12,[448, 19]
156,2,23,[448, 19]
157,2,14,[448, 19]
158,2,12,[448, 19]
159,2,15,[448, 19]
160,2,23,[448, 19]
161,2,12,[448, 19]
162,2,23,[448, 19]
163,2,19,[448, 19]
164,2,18,[448, 19]
165,2,2,[448, 19]
166,2,16,[448, 19]
167,2,7,[448, 19]
168,2,23,[448, 19]
169,2,24,[448, 19]
170,2,23,[448, 19]
171,2,12,[448, 19]
172,2,20,[448, 19]
173,2,28,[448, 19]
174,2,3,[448, 19]
175,2,26,[448, 19]
176,2,2,[448, 19]
177,2,25,[448, 19]
178,2,24,[448, 19]
179,2,16,[448, 19]
180,2,23,[448, 19]
181,2,14,[448, 19]
182,2,15,[448, 19]
183,2,12,[448, 19]
184,2,15,[448, 19]
185,2,12,[448, 19]
186,2,12,[448, 19]
187,2,18,[448, 19]
188,2,24,[448, 19]
189,2,23,[448, 19]
190,2,24,[448, 19]
191,2,19,[448, 19]
192,2,23,[448, 19]
193,2,28,[448, 19]
194,2,27,[448, 19]
195,2,12,[448, 19]
196,2,23,[448, 19]
197,2,25,[448, 19]
198,2,2,[448, 19]
199,2,14,[448, 19]
200,2,23,[448, 19]
