1,1,0,[1]
2,2,1,[7, 12]
3,2,5,[7, 12]
4,1,0,[4]
5,2,2,[7, 12]
6,2,3,[7, 12]
7,2,0,[7, 12]
8,2,4,[7, 12]
9,2,4,[7, 12]
10,2,1,[7, 12]
11,2,6,[7, 12]
12,2,0,[12, 7]
13,2,6,[7, 12]
14,2,5,[7, 12]
15,2,5,[7, 12]
16,2,5,[7, 12]
17,2,8,[7, 12]
18,2,5,[7, 12]
19,2,6,[7, 12]
20,2,5,[7, 12]
21,2,2,[7, 12]
22,2,7,[7, 12]
23,2,8,[7, 12]
24,2,5,[7, 12]
25,2,2,[7, 12]
26,2,6,[7, 12]
27,2,5,[7, 12]
28,2,7,[7, 12]
29,2,8,[7, 12]
30,2,2,[7, 12]
31,2,3,[7, 12]
32,2,2,[7, 12]
33,2,6,[7, 12]
34,2,7,[7, 12]
35,2,1,[12, 7]
36,2,2,[7, 12]
37,2,2,[12, 7]
38,2,3,[7, 12]
39,2,6,[7, 12]
40,2,7,[7, 12]
41,2,4,[7, 12]
42,2,1,[12, 7]
43,2,8,[7, 12]
44,2,6,[7, 12]
45,2,7,[7, 12]
46,2,3,[7, 12]
47,2,10,[7, 12]
48,2,7,[7, 12]
49,2,6,[7, 12]
50,2,1,[12, 7]
51,2,6,[7, 12]
52,2,9,[7, 12]
53,2,5,[7, 12]
54,2,7,[7, 12]
55,2,6,[7, 12]
56,2,7,[7, 12]
57,2,8,[7, 12]
58,2,4,[7, 12]
59,2,2,[12, 7]
60,2,1,[12, 7]
61,2,7,[7, 12]
62,2,7,[7, 12]
63,2,7,[7, 12]
64,2,1,[12, 7]
65,2,6,[7, 12]
66,2,6,[7, 12]
67,2,2,[12, 7]
68,2,3,[7, 12]
69,2,7,[7, 12]
70,2,6,[7, 12]
71,2,10,[7, 12]
72,2,1,[12, 7]
73,2,7,[7, 12]
74,2,7,[7, 12]
75,2,7,[7, 12]
76,2,9,[7, 12]
77,2,6,[7, 12]
78,2,6,[7, 12]
79,2,7,[7, 12]
80,2,7,[7, 12]
81,2,1,[12, 7]
82,2,9,[7, 12]
83,2,10,[7, 12]
84,2,6,[7, 12]
85,2,8,[7, 12]
86,2,8,[7, 12]
87,2,3,[7, 12]
88,2,9,[7, 12]
89,2,8,[7, 12]
90,2,7,[7, 12]
91,2,6,[7, 12]
92,2,6,[7, 12]
93,2,8,[7, 12]
94,2,7,[7, 12]
95,2,6,[7, 12]
96,2,7,[7, 12]
97,2,9,[7, 12]
98,2,6,[7, 12]
99,2,9,[7, 12]
100,2,6,[7, 12]
