1  1  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2  9  [60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60]
3  9  [62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62]
4  1  [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
5  9  [33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33]
6  9  [62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62]
7  9  [6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6]
8  9  [7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7]
9  9  [7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7]
10  9  [9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9]
11  9  [5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5]
12  9  [9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9]
13  9  [62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62]
14  9  [12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12]
15  9  [12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12]
16  9  [12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12]
17  9  [33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33]
18  9  [12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12]
19  9  [6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6]
20  9  [12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12]
21  9  [14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14]
22  9  [7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7]
23  9  [5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5]
24  9  [12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12]
25  9  [14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14]
26  9  [60, 12, 7, 62, 33, 14, 9, 6, 5, 60, 12, 7, 62, 33, 14, 9, 6, 5, 60]
